name,leverage,tc_bps,window,geo_monthly,mean_monthly,sharpe,max_drawdown,calmar,turnover_ann,source
combo_v2_1.25x,1.25,52.0,full,0.02535764268381202,0.030110377457315974,0.9946965920576528,-0.4230751711252264,0.828530638237936,10.26744272289614,results/v7/trials/lev1.csv name=combo_v2_1.25x_tc52 window=full
combo_v2_1.25x,1.25,52.0,2019on,0.03061073576492257,0.03503112006879905,1.0848145597669308,-0.4230751711252263,1.0304051857237682,11.39211809960139,derived: results/v7/trials/lev1.csv name=combo_v2_1.25x_tc52 window=full equity sliced >=2019-01-01
combo_v2_1.25x,1.25,52.0,dev,0.021102236410536435,0.025270854155435795,0.885023546803812,-0.4230751711252264,0.6731328645475532,9.481738935990592,results/v7/trials/lev1.csv name=combo_v2_1.25x_tc52 window=dev
combo_v2_1.5x,1.5,52.0,full,0.02812909019598009,0.03497149141894078,0.9708730305071842,-0.4897699090037485,0.8064851645453923,12.320931267475368,results/v7/trials/lev1.csv name=combo_v2_1.5x_tc52 window=full
combo_v2_1.5x,1.5,52.0,2019on,0.03400382821309855,0.04068389524002913,1.060701821216322,-0.4897699090037485,1.008041067596222,13.670541719521665,derived: results/v7/trials/lev1.csv name=combo_v2_1.5x_tc52 window=full equity sliced >=2019-01-01
combo_v2_1.5x,1.5,52.0,dev,0.023201556381179378,0.029173021981222284,0.8614271009042413,-0.4897699090037485,0.6469240353753357,11.37808672318871,results/v7/trials/lev1.csv name=combo_v2_1.5x_tc52 window=dev
combo_v2_1.75x,1.75,30.0,full,0.03289967872094035,0.04215130608555344,1.013407978176287,-0.5493569822604362,0.8640642354474573,14.19895174854525,results/v7/trials/lev1.csv name=combo_v2_1.75x_tc30 window=full
combo_v2_1.75x,1.75,30.0,2019on,0.03960548123521712,0.04887964566699581,1.1042552017391816,-0.549356982260436,1.0808259516042746,15.739042770007796,derived: results/v7/trials/lev1.csv name=combo_v2_1.75x_tc30 window=full equity sliced >=2019-01-01
combo_v2_1.75x,1.75,30.0,dev,0.027296931012640302,0.03540344034626246,0.9048909051312094,-0.5493569822604362,0.6944540438363285,13.13553014006861,results/v7/trials/lev1.csv name=combo_v2_1.75x_tc30 window=dev
combo_v2_1.75x,1.75,52.0,full,0.030216638026870468,0.039418998130535496,0.9529400808401851,-0.5517021883554514,0.7782524593203275,14.19895174854525,results/v7/trials/lev1.csv name=combo_v2_1.75x_tc52 window=full
combo_v2_1.75x,1.75,52.0,2019on,0.03660988580393898,0.04586019716792387,1.0436064348627467,-0.5507054785502303,0.9796812217806693,15.739042770007796,derived: results/v7/trials/lev1.csv name=combo_v2_1.75x_tc52 window=full equity sliced >=2019-01-01
combo_v2_1.75x,1.75,52.0,dev,0.024823031112974236,0.032872420967577864,0.8461333202891781,-0.5517021883554514,0.6200901386236154,13.13553014006861,results/v7/trials/lev1.csv name=combo_v2_1.75x_tc52 window=dev
combo_v2_2x,2.0,52.0,full,0.030708430356572336,0.041801204224163224,0.9306205372985831,-0.6140841574244063,0.7125621117744011,15.115970772012059,results/v7/trials/lev1.csv name=combo_v2_2x_tc52 window=full
combo_v2_2x,2.0,52.0,2019on,0.03758825594370108,0.04873147593842103,1.0273544418438667,-0.6061497190187675,0.9189856099080569,16.667325416566634,derived: results/v7/trials/lev1.csv name=combo_v2_2x_tc52 window=full equity sliced >=2019-01-01
combo_v2_2x,2.0,52.0,dev,0.02583674992609586,0.035838331176095646,0.8402038581846176,-0.6140841574244063,0.5831819543920739,14.141159725477893,results/v7/trials/lev1.csv name=combo_v2_2x_tc52 window=dev
