,cagr,mean_monthly,median_monthly,ann_vol,sharpe,max_drawdown,calmar,hit_rate_monthly,worst_month,best_month,avg_n_positions,turnover_annualized,name,start,end,n_days,final_equity,sortino,avg_gross_exposure
combo_4way_kelly_0.4,0.2369414634404993,0.0215957299935406,0.0120710290899563,0.30380194467153,0.8549099657013449,-0.4536197953142492,0.5223349286958608,0.6218487394957983,-0.2272033845085949,0.3266577747011596,66.44307324840764,23.283898459802213,,,,,,,
xs_momentum_multi,0.2372803524916669,0.0208661278358916,0.0078670525628616,0.2975617645926939,0.8670297919409016,-0.4463041664102974,0.5316561447323118,0.5546218487394958,-0.1660959165759137,0.2426753295681847,26.238057324840764,14.031210191082804,,,,,,,
combo_v2_2x_freeze_vix,0.17010222910955974,0.02065859616319768,0.0,0.4103737837024791,0.5917471614436107,-0.6569447768885118,0.25892926634597063,0.453781512605042,-0.37561516031486863,0.4195186980233814,28.48686305732484,13.247759530723549,combo_v2_2x_freeze_vix,2016-04-01,2026-03-27,2512,479966.2950196357,0.58482559639762,1.141188959660297
combo_v2_2x_freeze_vix_dd_v1,0.17010222910955974,0.02065859616319768,0.0,0.4103737837024791,0.5917471614436107,-0.6569447768885118,0.25892926634597063,0.453781512605042,-0.37561516031486863,0.4195186980233814,28.48686305732484,13.247759530723549,combo_v2_2x_freeze_vix_dd_v1,2016-04-01,2026-03-27,2512,479966.2950196357,0.58482559639762,1.141188959660297
combo_4way_kelly_0.25,0.2194555592772502,0.020056498857653,0.0108858843554415,0.2833471226520391,0.844548940980157,-0.4078751643673263,0.5380458984740043,0.6134453781512605,-0.2136868117453283,0.3266577747011592,66.44307324840764,20.990047880589415,,,,,,,
fast_dd_momentum,0.2259428501827292,0.0197626159779485,0.0071511246506583,0.3041193754172506,0.8245749690499874,-0.412157236988967,0.5481957609997697,0.5546218487394958,-0.1494107631920469,0.2438148280898346,24.984076433121015,6.528088208756367,,,,,,,
conc_dd_lev_1.5x,0.1912211311599871,0.0191788421905337,0.0084226896326427,0.3545796754821094,0.6746051113314067,-0.5672106664755299,0.3371254147038094,0.5714285714285714,-0.3987566128391878,0.2324265572401385,13.029458598726114,24.244091384996132,,,,,,,
FINAL_3pct_target,0.2062056943081798,0.0173072614998088,0.0111566833085483,0.203673807834102,1.0250300602690137,-0.2835002946736311,0.7273561903897356,0.6554621848739496,-0.1494615043804369,0.1608794244074562,44.28662420382165,6.808463055998358,,,,,,,
xs_momentum_concentrated,0.1931791566859924,0.0168196909775408,0.0145732724953733,0.256806652272894,0.8185247795758811,-0.3988346870896118,0.4843589661061454,0.6050420168067226,-0.1505677961791822,0.1630338432512594,13.268312101910828,16.32515923566879,,,,,,,
combo_4way_1x,0.1970023666828471,0.0167330091828647,0.01402643149191,0.201694786084995,0.9950174028443028,-0.2814759895036502,0.6998904845498103,0.6554621848739496,-0.1497550913130458,0.1948208115830247,66.48487261146497,11.813886731119686,,,,,,,
conc_dd_lev_1.3x,0.172482612244831,0.016708644388138,0.0075105208150738,0.3073023854178283,0.6746051113314051,-0.5064687831053171,0.340559217070175,0.5798319327731093,-0.3488479420509103,0.1994725190094217,13.029458598726114,21.011545866996645,,,,,,,
voltarget_momentum,0.1815861394671563,0.0156655542596372,0.0090600068103856,0.2338894140953945,0.8328015199576456,-0.4121572369889668,0.4405749145489765,0.6134453781512605,-0.1493359928667347,0.2064248605888414,26.48885350318471,4.930229458880979,,,,,,,
fast_dd_voltarget_momentum,0.1696642933187897,0.014807856236538,0.0047856335574931,0.2486139896941067,0.7570939804534106,-0.4121572369889668,0.4116494339836899,0.5630252100840336,-0.149410763192047,0.1842559907777929,24.984076433121015,5.821319342980979,,,,,,,
xs_momentum_ls,0.1637299221195658,0.014547194274951,0.0080219869294269,0.2806664836331318,0.6829192699264882,-0.304043612206006,0.5385080151219553,0.5546218487394958,-0.1522521415965059,0.185008158705878,88.29617834394904,8.888216560509548,,,,,,,
regime_voltarget_momentum,0.1554027483523536,0.013410383260587,0.0061878109737063,0.215418580911242,0.7805295593348621,-0.4044433280684878,0.3842386252099034,0.6050420168067226,-0.1348986844019197,0.1803128672390923,26.48885350318471,4.797982174842795,,,,,,,
ensemble_top3,0.1586317949563622,0.0133222060805684,0.0120570109413526,0.1639163813370354,0.98266556465387,-0.2631518479194326,0.6028146722531452,0.6302521008403361,-0.1396530267077912,0.1266609076872953,47.84792993630573,7.216830047525216,,,,,,,
vix_gated_trend,0.135584832034455,0.0125735288577195,0.0016590678090582,0.2455648458853055,0.6428855043521345,-0.4349050271324961,0.3117573345344394,0.5126050420168067,-0.1768094459559642,0.199508723813486,24.33200636942675,15.10127388535032,vix_gated_trend,2016-04-01,2026-03-27,2512.0,355929.778220008,0.715416351623191,0.8244426751592356
ml_lgb_xs,0.104357556712463,0.0122544940151169,0.0,0.349969108149136,0.4598617348920575,-0.6165263662932989,0.1692669809725821,0.453781512605042,-0.3341337142971012,0.2745916266320856,23.312101910828027,44.3875796178344,,,,,,,
trend_following,0.1242677443316251,0.0121110275491344,0.0072981571958645,0.2631308429887119,0.5790260955786561,-0.4349050271324961,0.2857353596277614,0.5294117647058824,-0.1768094459559642,0.199508723813486,26.154458598726116,16.472798029413052,,,,,,,
buy_hold_spy,0.1370409832415293,0.0118184970115825,0.0181004444602899,0.1790673824533964,0.8086451218148535,-0.3371727297052124,0.4064414798947212,0.7142857142857143,-0.1248710786202306,0.1269834666195424,0.9996019108280256,0.1003184713375796,,,,,,,
acceleration_momentum,0.1164295412391924,0.0111762555750874,0.0138005195121346,0.2304261380769441,0.5954844905718656,-0.5135775634402608,0.2267029355006773,0.5882352941176471,-0.2321883243988972,0.1566622200641696,26.238057324840764,15.977388535031848,acceleration_momentum,2016-04-01,2026-03-27,2512.0,300326.00801522983,0.6569126872906818,0.8746019108280253
