ts,family,name,window,exec_model,tc_bps,leverage_cap,params_json,mean_monthly,median_monthly,sharpe,sortino,max_drawdown,calmar,cagr,ann_vol,worst_month,hit_rate,turnover_ann,avg_gross,runtime_s,notes,margin_bps,ep_2018Q4_ret,ep_2018Q4_dd,ep_covid_ret,ep_covid_dd,ep_2022_ret,ep_2022_dd,ep_2026Q1_ret,ep_2026Q1_dd,geo_monthly,dsr
2026-07-14T14:16:46,catalog_v2,FINAL_3pct_target,dev,next_open,5.0,1.5,"{""source"": ""run_final"", ""tc_bps"": 5.0, ""leverage_cap"": 1.5, ""margin_bps_annual"": 600.0}",0.0150917466353945,0.013793378058435,0.9751613796643154,1.3484198301867232,-0.234870070275911,0.7608112463004687,0.1786917908852945,0.1865629146678152,-0.1611736854092391,0.6625,6.697493700077851,0.6941939132629172,0.18,"catalog_v2 correction exception (exp_rescore precedent): fixed settings, not a search",600.0,-0.2037812695715616,-0.2197659100060411,-0.1752382923226129,-0.2062832480158644,0.009464419653191,-0.1226835991940845,,,0.013794711948771132,0.9335764778302368
2026-07-14T14:16:42,catalog_v2,combo_4way_1x,dev,next_open,5.0,1.5,"{""lev"": 1.0, ""source"": ""run_v3"", ""tc_bps"": 5.0, ""leverage_cap"": 1.5, ""margin_bps_annual"": 600.0}",0.0143145975475176,0.0150094174441862,0.9428431432199114,1.3071091281601432,-0.227757879186557,0.7348595667471532,0.1673700564222837,0.181770321903088,-0.1591227742686408,0.6625,11.680906627822491,0.7657544967548633,0.17,"catalog_v2 correction exception (exp_rescore precedent): fixed settings, not a search",600.0,-0.2007512776462637,-0.2161290331707974,-0.1641141872238927,-0.1924053185889307,-0.0966745359687534,-0.1476805272258071,,,0.012979630501880113,0.9421111433930387
2026-07-14T14:16:35,catalog_v2,voltarget_momentum,dev,next_open,5.0,1.0,"{""source"": ""run_ensembles"", ""tc_bps"": 5.0, ""leverage_cap"": 1.0, ""margin_bps_annual"": 600.0}",0.0141659523692164,0.0080362337700847,0.8210032538788693,1.127597612135583,-0.3426790520509211,0.4790880026449039,0.1641734225953248,0.2130026931408956,-0.1632340817506963,0.5875,4.606747744892585,0.5769075022401032,0.15,"catalog_v2 correction exception (exp_rescore precedent): fixed settings, not a search",600.0,-0.2021216408815137,-0.2425785066088814,-0.2567465926334404,-0.3426790520509211,0.0729424167532863,-0.1442152006062074,,,0.01274818460400473,0.8740636579010972
2026-07-14T14:16:44,catalog_v2,combo_4way_kelly_0.4,dev,next_open,5.0,3.0,"{""kelly"": 0.4, ""max_lev"": 2.5, ""source"": ""run_v4"", ""tc_bps"": 5.0, ""leverage_cap"": 3.0, ""margin_bps_annual"": 600.0}",0.0155331139079536,0.0090297414075712,0.673672447210192,0.9149009751713688,-0.3204015149440844,0.5080238134471037,0.1627715994561229,0.2844958145072805,-0.2022999238588264,0.5875,24.00134046774808,1.1503336186271047,0.21,"catalog_v2 correction exception (exp_rescore precedent): fixed settings, not a search",600.0,-0.2018989788735503,-0.220322600022756,-0.2816885561474717,-0.318861258233116,-0.1414566939208156,-0.2319377142627707,,,0.01264650459525507,0.8020130513916247
2026-07-14T14:16:36,catalog_v2,fast_dd_voltarget_momentum,dev,next_open,5.0,1.0,"{""source"": ""run_ensembles"", ""tc_bps"": 5.0, ""leverage_cap"": 1.0, ""margin_bps_annual"": 600.0}",0.0140886898265363,0.0009933169585645,0.81593537293117,1.1422053598437112,-0.272625282407937,0.5942531386485697,0.1620084297458692,0.2115909530245909,-0.170923339903448,0.525,5.503152520176192,0.5909914272498981,0.15,"catalog_v2 correction exception (exp_rescore precedent): fixed settings, not a search",600.0,-0.209961751949445,-0.2505738746920574,-0.2150999281474179,-0.268378547788245,-0.0200244373900743,-0.1430787893360285,,,0.01259110150217535,0.8708176244514598
2026-07-14T14:16:44,catalog_v2,combo_4way_kelly_0.6,dev,next_open,5.0,3.0,"{""kelly"": 0.6, ""max_lev"": 3.0, ""source"": ""run_v4"", ""tc_bps"": 5.0, ""leverage_cap"": 3.0, ""margin_bps_annual"": 600.0}",0.0155006253115143,0.0102045123390684,0.6501370234656615,0.8792535481836438,-0.3301540996265413,0.4840234478703642,0.1598023256297742,0.2961940550999898,-0.2044712926221153,0.575,25.773385553923703,1.2033818955960929,0.17,"catalog_v2 correction exception (exp_rescore precedent): fixed settings, not a search",600.0,-0.2040714390237434,-0.2238205022691927,-0.2816885561474719,-0.3188612582331163,-0.1558274118923617,-0.2350951454095069,,,0.012430759321434115,0.7940721307020142
2026-07-14T14:16:38,catalog_v2,xs_momentum_concentrated,dev,next_open,5.0,1.0,"{""n_long"": 15, ""source"": ""run_v2"", ""tc_bps"": 5.0, ""leverage_cap"": 1.0, ""margin_bps_annual"": 600.0}",0.0142554955326899,0.0072073023296614,0.6671014197053188,0.913403921877387,-0.3851213393009749,0.3972620802552613,0.1529941044013976,0.2677325999508076,-0.1791994454616381,0.525,14.982716049382717,0.8348030570252791,0.15,"catalog_v2 correction exception (exp_rescore precedent): fixed settings, not a search",600.0,-0.2432173534179716,-0.2999259397546293,-0.2806827339354033,-0.3851213393009749,0.1093566100640515,-0.2298955043109557,,,0.01193416122122426,0.66371741829896
2026-07-14T14:16:45,catalog_v2,combo_4way_kelly_0.25,dev,next_open,5.0,3.0,"{""kelly"": 0.25, ""max_lev"": 2.0, ""source"": ""run_v4"", ""tc_bps"": 5.0, ""leverage_cap"": 3.0, ""margin_bps_annual"": 600.0}",0.0139724234482169,0.0065489664036767,0.6613685541114084,0.8983429150671233,-0.3016914364431174,0.4888561733575884,0.1474837211543365,0.2592167792002396,-0.1816753747094196,0.6,21.36881404117458,1.0402379077148145,0.18,"catalog_v2 correction exception (exp_rescore precedent): fixed settings, not a search",600.0,-0.181264063284673,-0.1862232201313978,-0.2504362855086638,-0.2799851040579592,-0.1371469556948717,-0.212829802184326,,,0.011530256523635707,0.7711817675274741
2026-07-14T14:16:39,catalog_v2,conc_dd_lev_1.5x,dev,next_open,5.0,2.0,"{""lev"": 1.5, ""dd_gate"": ""60/0.08/0.18"", ""source"": ""run_v2"", ""tc_bps"": 5.0, ""leverage_cap"": 2.0, ""margin_bps_annual"": 600.0}",0.0141706835319336,0.0039613783568963,0.5663323094396727,0.7685605444621225,-0.4290848739957148,0.3280629728038589,0.1407668593482034,0.3293886466061869,-0.1770376531800067,0.5125,22.050235591524174,1.1568627788179244,0.15,"catalog_v2 correction exception (exp_rescore precedent): fixed settings, not a search",600.0,-0.3557016443186237,-0.4108394209549383,-0.2564724958926994,-0.2950404341518275,0.0664992242331192,-0.2327928123946624,,,0.011035506895890279,0.5431859318407859
2026-07-14T14:16:39,catalog_v2,multi_dd_lev_1.3x,dev,next_open,5.0,2.0,"{""lev"": 1.3, ""dd_gate"": ""60/0.08/0.18"", ""source"": ""run_v2"", ""tc_bps"": 5.0, ""leverage_cap"": 2.0, ""margin_bps_annual"": 600.0}",0.0147957434972455,0.0026557979196558,0.5592473685382502,0.7618741583991873,-0.4517302997333755,0.3112005628227691,0.1405787235211246,0.3387520106771753,-0.2423211762857989,0.5,16.19886494306891,1.0058919606297885,0.16,"catalog_v2 correction exception (exp_rescore precedent): fixed settings, not a search",600.0,-0.3086739339692071,-0.3686805580319627,-0.3393655753407056,-0.4277891094944527,-0.0984804590321531,-0.3360127385034636,,,0.011021610806379423,0.593051294658024
2026-07-14T14:16:51,catalog_v2,calendar_tom,dev,next_open,5.0,2.0,"{""n_long"": 30, ""source"": ""run_v5"", ""tc_bps"": 5.0, ""leverage_cap"": 2.0, ""margin_bps_annual"": 600.0}",0.0118404669930008,0.0058705373372556,1.022744898801804,1.5764648894941755,-0.1429194818144047,0.96998609771023,0.1386299104519226,0.1359938907644275,-0.0948688151872927,0.5625,38.81481481481482,0.2739564961787183,0.16,"catalog_v2 correction exception (exp_rescore precedent): fixed settings, not a search",600.0,-0.0665621898648706,-0.0702711479872435,-0.0530366840057742,-0.0697005297155434,0.2396396333841761,-0.0562216499373805,,,0.010877543826580904,0.4503381065415774
2026-07-14T14:16:32,catalog_v2,trend_following,dev,next_open,5.0,1.0,"{""n_long"": 30, ""source"": ""run_all"", ""tc_bps"": 5.0, ""leverage_cap"": 1.0, ""margin_bps_annual"": 600.0}",0.0127523949739989,0.0106274206928506,0.6666076611136721,0.91996410266218,-0.3808942809923318,0.3587644589754674,0.1366513306470635,0.233195036592918,-0.1886127790204524,0.6,15.48716557900388,0.8759553203997649,0.15,"catalog_v2 correction exception (exp_rescore precedent): fixed settings, not a search",600.0,-0.1968726004496412,-0.239623828705085,-0.2373052708574009,-0.3255185734926916,-0.0850864662697684,-0.3142218980846781,,,0.010731044906799214,0.23310757799530352
2026-07-14T14:16:39,catalog_v2,conc_dd_lev_1.3x,dev,next_open,5.0,2.0,"{""lev"": 1.3, ""dd_gate"": ""60/0.08/0.18"", ""source"": ""run_v2"", ""tc_bps"": 5.0, ""leverage_cap"": 2.0, ""margin_bps_annual"": 600.0}",0.0129752510261222,0.0042850093684487,0.5872655657395489,0.7977482457966258,-0.3816165851241728,0.3534122263554995,0.1348679669629169,0.2854712681613577,-0.1537521246841183,0.5125,19.110204179320952,1.0026144083088675,0.15,"catalog_v2 correction exception (exp_rescore precedent): fixed settings, not a search",600.0,-0.3135275247305977,-0.3649654453645522,-0.2240468987089502,-0.2591730896746028,0.0723162860360226,-0.2022482435026412,,,0.010598799828286376,0.5710244430684437
2026-07-14T14:16:51,catalog_v2,sector_momentum_rotation,dev,next_open,5.0,2.0,"{""n_sectors"": 3, ""source"": ""run_v5"", ""tc_bps"": 5.0, ""leverage_cap"": 2.0, ""margin_bps_annual"": 600.0}",0.011990744399496,0.0128078165273585,0.7454203689266587,1.06723290437979,-0.3137900649662255,0.4295967688692595,0.1348031980127655,0.1953275261789157,-0.0989539581148223,0.6,7.2592592592592595,0.9129923574368018,0.2,"catalog_v2 correction exception (exp_rescore precedent): fixed settings, not a search",600.0,-0.1192722504496025,-0.1585953951027734,-0.1685630111116405,-0.3137900649662255,0.1231435726554981,-0.1433424108321955,,,0.010593993312063565,0.5467523080917968
2026-07-14T14:16:35,catalog_v2,regime_voltarget_momentum,dev,next_open,5.0,1.0,"{""source"": ""run_ensembles"", ""tc_bps"": 5.0, ""leverage_cap"": 1.0, ""margin_bps_annual"": 600.0}",0.0114816018640177,0.0057505521780317,0.744414821784133,1.0192893662150468,-0.3192296779100447,0.4137939360841284,0.1320953049372659,0.1914604041538995,-0.1474837387165539,0.575,4.420737331492784,0.5147672536457166,0.15,"catalog_v2 correction exception (exp_rescore precedent): fixed settings, not a search",600.0,-0.160518341667777,-0.1844624404604814,-0.2466886737440815,-0.3192296779100447,-0.0047819281454882,-0.0961074192395725,,,0.010392814669349493,0.7959243714324153
2026-07-14T14:16:37,catalog_v2,ensemble_top3,dev,next_open,5.0,1.0,"{""source"": ""run_ensembles"", ""tc_bps"": 5.0, ""leverage_cap"": 1.0, ""margin_bps_annual"": 600.0}",0.0112807550698688,0.011657901748195,0.9109859443084698,1.24444315771575,-0.1962608303530668,0.6705604794370799,0.1316047564962719,0.147785582335622,-0.1670616115092444,0.6375,6.842296589594682,0.5998958911884771,0.17,"catalog_v2 correction exception (exp_rescore precedent): fixed settings, not a search",600.0,-0.174165620495545,-0.1836830068820937,-0.1657907584515705,-0.1886537818395589,-0.0668884965925091,-0.0842476428219843,,,0.010356322962276732,0.8966332390878915
2026-07-14T14:16:41,catalog_v2,xs_momentum_fast_top10,dev,next_open,5.0,1.5,"{""n_long"": 10, ""source"": ""run_v3"", ""tc_bps"": 5.0, ""leverage_cap"": 1.5, ""margin_bps_annual"": 600.0}",0.0160429914626686,0.0072258012757241,0.4979270073433317,0.6978734023968497,-0.462581719593798,0.2636912695791025,0.121978760923773,0.3673634151870898,-0.3337227891202137,0.5125,32.62222222222222,0.9465020576131686,0.15,"catalog_v2 correction exception (exp_rescore precedent): fixed settings, not a search",600.0,-0.3142732693767591,-0.3148057593607654,-0.4522594976357533,-0.4527748381311837,-0.2364057125957254,-0.2944704968371001,,,0.009637298981663545,0.723764690340994
2026-07-14T14:16:49,catalog_v2,donchian_breakout,dev,next_open,5.0,2.0,"{""n_long"": 30, ""source"": ""run_v5"", ""tc_bps"": 5.0, ""leverage_cap"": 2.0, ""margin_bps_annual"": 600.0}",0.0104585802988413,0.010798575043042,0.8128150473014885,1.1079787632471882,-0.2439553553676088,0.4871168202338052,0.1188347569856775,0.1525502969042758,-0.129967541653779,0.65,28.30001475223245,0.9376837154614944,0.15,"catalog_v2 correction exception (exp_rescore precedent): fixed settings, not a search",600.0,-0.1347936996433834,-0.1595930826908752,-0.1894849457676594,-0.1902936458002657,-0.1415124695357391,-0.2439553553676088,,,0.00940122886811956,0.733050672219225
