cand,base,alloc,overlay,tc,track,mean_monthly,sharpe,max_drawdown,calmar,turnover_ann,avg_gross,ep_2018Q4_ret,ep_2018Q4_dd,ep_covid_ret,ep_covid_dd,ep_2022_ret,ep_2022_dd,ep_2026Q1_ret,ep_2026Q1_dd,tier_events
ASM_Bst_TF1_tc20,B,st,TF1,20.0,tier_loop_cc,0.048038188624644554,1.2929247795533252,-0.4734214665358464,1.239205818715976,15.803482916270479,1.4860799962537707,-0.45208940905828165,-0.45208940905828165,-0.24468815163753643,-0.24468815163753643,-0.020597791915953234,-0.2984883616301802,,,"{""tier1"": 15, ""tier2"": 0, ""tier3"": 0}"
ASM_Bst_T,B,st,T,5.0,tier_loop_cc,0.05098775987576285,1.3203378610062422,-0.4858749146574258,1.2974178846130628,15.101211633730179,1.5259780954111293,-0.3863661583417891,-0.46504735490287996,-0.32574524029812957,-0.4158923858787462,-0.05571367997169141,-0.36574367779452766,,,"{""tier1"": 15, ""tier2"": 1, ""tier3"": 0}"
ASM_Bst_T_tc10,B,st,T,10.0,tier_loop_cc,0.050319230188045294,1.3028713315297005,-0.4870183419250107,1.268913112864707,15.101211633730179,1.5259780954111293,-0.38773089561462115,-0.46623710319314915,-0.32718363756612956,-0.41669939089608754,-0.06393302990218575,-0.3674675930301534,,,"{""tier1"": 15, ""tier2"": 1, ""tier3"": 0}"
ASM_Bst_T_tc20,B,st,T,20.0,tier_loop_cc,0.04898259945351942,1.2679002939456734,-0.4892995189084043,1.2128490373332268,15.101211633730179,1.5259780954111293,-0.3904535937200626,-0.4686106922203952,-0.33005429785795404,-0.41831172789294313,-0.08017149568467163,-0.3709037707648686,,,"{""tier1"": 15, ""tier2"": 1, ""tier3"": 0}"
ASM_Bst_F1,B,st,F1,5.0,next_open,0.048667714926263886,1.2185118548358336,-0.506437543533925,1.1516915926915468,14.425544243718592,1.5618785461263947,-0.4845987469584845,-0.4845987469584845,-0.330734161788374,-0.330734161788374,0.02605112955067601,-0.299086028818514,,,
ASM_Bst_F1_tc10,B,st,F1,10.0,next_open,0.04803406602950457,1.2031529257694875,-0.5082070452861576,1.1253482984099308,14.425544243718592,1.5618785461263947,-0.4860245952877539,-0.4860245952877539,-0.3319292405365599,-0.3319292405365599,0.016692491494031847,-0.2995227046108174,,,
ASM_Bst_F1_tc20,B,st,F1,20.0,next_open,0.04676700373595655,1.1723559806544226,-0.5117309341382079,1.0736724109308715,14.425544243718592,1.5618785461263947,-0.4888675102004528,-0.4888675102004528,-0.33431619482131136,-0.33431619482131136,-0.0017895692054142875,-0.3003960561954231,,,
ASM_Bsx_base,B,sx,none,5.0,next_open,0.049338634376973965,1.1575732122602085,-0.519282676113216,1.1254967220150522,13.379284950347477,1.6148951670776648,-0.4159647781021386,-0.4999273553038479,-0.3942379953199565,-0.5191009728947273,-0.1268273345129426,-0.4170794953096779,,,
ASM_Bsx_TF1,B,sx,TF1,5.0,tier_loop_cc,0.04932552002103804,1.3120399732563943,-0.49737004392875317,1.2220074423007876,15.830984085646628,1.4843953821087252,-0.4771324457296736,-0.4771324457296736,-0.2307748382732403,-0.2307748382732403,-0.022945207025127035,-0.28260093155803545,,,"{""tier1"": 15, ""tier2"": 0, ""tier3"": 0}"
ASM_Bsx_TF1_tc10,B,sx,TF1,10.0,tier_loop_cc,0.0486281290245791,1.2934222859207842,-0.49916269589701245,1.192045042678801,15.830984085646628,1.4843953821087252,-0.47899727598696284,-0.47899727598696284,-0.23194731996073725,-0.23194731996073725,-0.03284538422335004,-0.28504124818523735,,,"{""tier1"": 15, ""tier2"": 0, ""tier3"": 0}"
ASM_Bsx_TF1_tc20,B,sx,TF1,20.0,tier_loop_cc,0.047233847186916096,1.2561283042093796,-0.5027322721269524,1.1333537526764044,15.830984085646628,1.4843953821087252,-0.4827105755437954,-0.4827105755437954,-0.23428960362896956,-0.23428960362896956,-0.052363084975888596,-0.28990077453670393,,,"{""tier1"": 15, ""tier2"": 0, ""tier3"": 0}"
ASM_Bsx_T,B,sx,T,5.0,tier_loop_cc,0.05063457859689642,1.297456407985846,-0.5138884431274973,1.2127060045178464,15.082592377394285,1.5229289886933879,-0.40941119265339576,-0.49431593208018454,-0.32258030283020234,-0.40867393723574463,-0.06992358732151305,-0.35980863992549683,,,"{""tier1"": 17, ""tier2"": 0, ""tier3"": 0}"
ASM_Bsx_T_tc10,B,sx,T,10.0,tier_loop_cc,0.04996573071306102,1.2803486714525267,-0.5151850493832129,1.1857542024733496,15.082592377394285,1.5229289886933879,-0.4109864712727479,-0.4956647441308566,-0.32378368973303595,-0.4093331852193698,-0.07797050489163881,-0.3614746386155884,,,"{""tier1"": 17, ""tier2"": 0, ""tier3"": 0}"
ASM_Bsx_T_tc20,B,sx,T,20.0,tier_loop_cc,0.04862845764615524,1.246092185658802,-0.5177700433211572,1.132771391976081,15.082592377394285,1.5229289886933879,-0.41412704356572283,-0.4983538187508837,-0.3261860110429925,-0.4106504117664296,-0.09386960560635216,-0.3647958352377525,,,"{""tier1"": 17, ""tier2"": 0, ""tier3"": 0}"
ASM_Bsx_F1,B,sx,F1,5.0,next_open,0.04860088680233247,1.2012282061395028,-0.5182994599482711,1.1167132688654378,14.382441593848828,1.5632189039083633,-0.4968241416758751,-0.4968241416758751,-0.3161796359717348,-0.3161796359717348,-0.00635213761208564,-0.30322226069945846,,,
ASM_Bsx_F1_tc10,B,sx,F1,10.0,next_open,0.047969426265584966,1.1861706788790303,-0.5200425852122357,1.0912858202234257,14.382441593848828,1.5632189039083633,-0.49821969351589324,-0.49821969351589324,-0.3172859643666791,-0.3172859643666791,-0.015329271071244599,-0.30369002041500437,,,
ASM_Bsx_F1_tc20,B,sx,F1,20.0,next_open,0.04670673381243684,1.1559788152856731,-0.5235138627196644,1.041387380600436,14.382441593848828,1.5632189039083633,-0.5010022316987033,-0.5010022316987033,-0.3194959414498051,-0.3194959414498051,-0.03305982003821162,-0.304625539846095,,,
