leg_year,name,score_cutoff,sharpe_at_selection,calmar_at_selection,geo_at_selection,maxdd_at_selection,rank_at_selection,selected
2026,xs_momentum_fast,2025-12-31,0.9083703627820056,0.6549974039938906,0.0198007881695823,-0.4049980125657229,5.0,False
2026,xs_momentum_multi,2025-12-31,0.8909564282164454,0.6588044572555987,0.0172906682182327,-0.3466925581108949,6.0,False
2026,acceleration_momentum,2025-12-31,0.8476010272740052,0.391818126561447,0.0130997158959969,-0.4314037115393458,7.0,False
2026,low_vol_quality,2025-12-31,0.7986480179840157,0.2991875984438352,0.0056469241248593,-0.2336587622757374,8.0,False
2026,risk_parity_etf,2025-12-31,0.7886756271226486,0.326238964861258,0.0053319924526966,-0.2019809378396623,9.0,False
2026,donchian_breakout,2025-12-31,0.7840352519127468,0.4552067114909194,0.0088140854421743,-0.2439553553676093,10.0,False
2026,xs_momentum_fast_top10,2025-12-31,0.7818333546429925,0.5580824480342659,0.0193217391171014,-0.462581719593798,11.0,False
2026,xs_momentum_concentrated,2025-12-31,0.768838111769676,0.4662260354196689,0.0138564611971852,-0.3851213393009749,12.0,False
2026,mean_reversion_5d,2025-12-31,0.7485626734089049,0.3325458533548129,0.016447858290844,-0.6502728568123506,13.0,False
2026,calendar_tom,2025-12-31,0.7429780857671391,0.3434440897263965,0.0080342915257722,-0.2934625307237053,14.0,False
2026,momentum_quality_blend,2025-12-31,0.7051358508420971,0.327232066544457,0.0102626415159625,-0.3983298911167904,15.0,False
2026,multifactor_mvr,2025-12-31,0.6896294790306704,0.2713944906412624,0.0090596929599098,-0.4211597723637523,16.0,False
2026,sector_momentum_rotation,2025-12-31,0.6847501258166426,0.3624970903056547,0.0090179935401171,-0.3137900649662255,17.0,False
2026,sector_rotation,2025-12-31,0.62188494131852,0.2891345526515571,0.0077601346038553,-0.3361782264849149,18.0,False
2026,ts_momentum_multiasset,2025-12-31,0.5784597390938501,0.313948920977421,0.0031062110433308,-0.1207775338475312,19.0,False
2026,vix_gated_trend,2025-12-31,0.3764345700474808,0.1245769089234439,0.0046895389671126,-0.4635598634841776,20.0,False
2026,trend_following,2025-12-31,0.3619477783322337,0.1045233474304333,0.0048863020467935,-0.5763055748711865,21.0,False
